Date,Branch,Location,Feeder,Category,Fault,Areas Affected
04/03/2022,Abule Egba,Ijaiye,33 KV,Feeder,PLANNED OUTAGE REQUEST ON AMJE 33KV FEEDER,"AIT RD,IJAIYE, ALAKUKO WEST, YUSUFF,ABULE IROKO, AKERA, AMJE,KOLINGTON AND ENVIRONS"
06/03/2022,Abule Egba,Iju,11 KV,Substation,FAULT/DEFECTS AFFECTING MUDASHIRU 300KVA S/S ON GRAILAND 11KV FEEDER,"MUDASHIRU FARM, OLAMBE"
07/03/2022,Abule Egba,Ijaiye,33 KV,Feeder,OUTAGE ALERT ON ABEOKUTA 33KV FEEDER,ABEOKUTA
07/03/2022,Abule Egba,Iju,Not Specified,Feeder,OUTAGE ON OYEMEKUN AND IJU FEEDER CNN,OYEMEKUN AND IJU FEEDER CNN
07/03/2022,Akowonjo,Egbeda,Not Specified,Transformer,FAULT ON THE TRANSFORMER,ONANUBI CUSTOMERS
07/03/2022,Shomolu,Olowora,33 KV,Human,RUPTURED J&P AT DAVID COURT 500KVA ON AKUTE 33KV FEEDER,DAVID COURT 500KVA ON AKUTE 33KV FEEDER
09/03/2022,Shomolu,Ogudu,11 KV,Feeder,FEEDER FAULT - EXPRESS AND OGUDU 11KV,EXPRESS AND OGUDU 11KV
09/03/2022,Abule Egba,Fagba,Not Specified,DT,DT FAULT 11-IJAIYE OJOKOROINJ-T2-AGBADO 2-TENKOBO,11-IJAIYE OJOKOROINJ-T2-AGBADO 2-TENKOBO
10/03/2022,Shomolu,Oworo,33 KV,Feeder,PLANNED OUTAGE REQUEST ON ALAPERE 33KV FEEDER,ALAPERE 33KV FEEDER
11/03/2022,Abule Egba,Ijaiye,Not Specified,Feeder,OUTAGE ALERT ON AKERA 11KV FEEDER,AKERA 11KV FEEDER
11/03/2022,Abule Egba,Fagba,Not Specified,HVDS,FAULTY 11-IJAIYE OJOKOROINJ-T1-JANKARA-ZIPLUX HVDS 1 & 3,11-IJAIYE OJOKOROINJ-T1-JANKARA-ZIPLUX HVDS 1 & 3
12/03/2022,Shomolu,Mende,11 KV,Feeder,SYLVIA 11KV FEEDER POOR SUPPLY ALLOCATION (11-MARYLANDINJ-T3-SYLVIA),SYLVIA 11KV FEEDER (11-MARYLANDINJ-T3-SYLVIA)
13/03/2022,Abule Egba,Fagba,Not Specified,HVDS,FAULTY 11-IJAIYE OJOKOROINJ-T1-JANKARA-ZIPLUX HVDS 1 & 3,11-IJAIYE OJOKOROINJ-T1-JANKARA-ZIPLUX HVDS 1 & 3
